localTime,channel,episodeTitle,episodeStartTime,episodeDescription,trackTitle,artistString,gender,hosts
2025-10-29 08:42:20+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",19-2000 (Soulchild Remix),Gorillaz,other,Camilla Jane Lea
2025-10-29 08:45:30+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",daughter,shinyhunt,other,Camilla Jane Lea
2025-10-29 08:47:52+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Easy,shinyhunt,other,Camilla Jane Lea
2025-10-29 08:50:12+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",City Of No One,shinyhunt,other,Camilla Jane Lea
2025-10-29 08:57:41+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Sometimes Love's Just Not Enough,When Saints Go Machine,other,Camilla Jane Lea
2025-10-29 09:05:12+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",My Generation,The Who,other,Camilla Jane Lea
2025-10-29 09:09:51+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",What Else Is There?,Röyksopp,other,Camilla Jane Lea
2025-10-29 09:15:01+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Safe From Harm,Massive Attack,other,Camilla Jane Lea
2025-10-29 09:20:32+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Laid,James,,Camilla Jane Lea
2025-10-29 09:23:00+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",moody,Royel Otis,other,Camilla Jane Lea
2025-10-29 09:26:22+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.","The Catastrophe (Good Luck With That, Man)",Car Seat Headrest,other,Camilla Jane Lea
2025-10-29 09:31:33+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Rudy A Message To You,The Specials,other,Camilla Jane Lea
2025-10-29 09:34:14+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Loaded,Primal Scream,other,Camilla Jane Lea
2025-10-29 09:38:54+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Fidelity,Regina Spektor,female,Camilla Jane Lea
2025-10-29 09:42:31+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",You're Pretty Good Looking (For A Girl),The White Stripes,other,Camilla Jane Lea
2025-10-29 09:44:23+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Jigsaw Falling Into Place,Radiohead,other,Camilla Jane Lea
2025-10-29 09:48:35+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Delivery,Babyshambles,other,Camilla Jane Lea
2025-10-29 09:51:15+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",Run Free,Soulwax,other,Camilla Jane Lea
2025-10-29 09:57:02+01:00,P6BEAT,Morgenbeatet,2025-10-29 06:05:00+00:00,"Det bedste og bredeste soundtrack til dagens første timer.
Vært: Camilla Jane Lea.",I'm In Love With My Car,Queen,other,Camilla Jane Lea
2025-10-29 10:03:05+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",Naked When You Come,The Lollipops,,Mikael Simpson
2025-10-29 10:06:14+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",Smile,Jungle,other,Mikael Simpson
2025-10-29 10:09:30+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",Ooo Baby Baby,LA LOM,other,Mikael Simpson
2025-10-29 10:13:10+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",Mr W4,Baxter Dury,male,Mikael Simpson
2025-10-29 10:16:40+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",Little Fluffy Clouds,The Orb,other,Mikael Simpson
2025-10-29 10:20:40+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",Blinded By The Lights,The Streets,,Mikael Simpson
2025-10-29 10:24:51+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",Love Hurts,Lykke Li,female,Mikael Simpson
2025-10-29 10:27:40+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",L'inconnu en personne (Radio Edit),Bertrand Belin,male,Mikael Simpson
2025-10-29 10:30:01+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",L'inconnu en personne (Radio Edit),Bertrand Belin,male,Mikael Simpson
2025-10-29 10:31:26+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",Leaving New York,R.E.M.,other,Mikael Simpson
2025-10-29 10:36:20+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",Nuevo mundo,Hermanos Gutiérrez,other,Mikael Simpson
2025-10-29 10:41:07+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",Everybody Scream,Florence + The Machine,other,Mikael Simpson
2025-10-29 10:45:27+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",I Don't Believe In You,Talk Talk,other,Mikael Simpson
2025-10-29 10:49:31+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",Beetlebum,Blur,other,Mikael Simpson
2025-10-29 10:55:09+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",Good Things Coming,Wargirl,other,Mikael Simpson
2025-10-29 11:03:09+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",When You Touch The Sky,Júníus Meyvant,male,Mikael Simpson
2025-10-29 11:06:55+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",Boxers,Morrissey,male,Mikael Simpson
2025-10-29 11:10:36+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",Enchantia,Domenique Dumont,other,Mikael Simpson
2025-10-29 11:14:35+01:00,P6BEAT,Formiddag med Simpson,2025-10-29 09:03:00+00:00,"Med en stak plader byder Mikael Simpson ind med evigt grønne klassikere, noget teksttungt, lidt elektronisk musik, og ikke mindst noget du ikke anede, at du havde lyst til at få din boogie på til.
Anekdoter, milde afhøringer og personlige beretninger fra musiklivet kan forekomme.",Drive Away,"The Brummies, Kacey Musgraves",female,Mikael Simpson
